nom;porteur;categorie;type;arrondissement_implantation;arrondissements_couverts;niveaux;domaines;adresse;telephone;non_localise;specificite_marseillaise;note;source
EMI — Équipe Mobile Inclusive;CMSMH;Médico-social;mobile;;"11;12";3;"Suivi clinique et médication;Logement et vie quotidienne;Gestion budgétaire et démarches;Gestion de crise et sécurité;Activités et insertion;Projet de vie et rétablissement;Réseau social et entourage";;07 64 43 44 38;;;Secteurs 13G07 et 13G08 du CH Valvert. Aussi Allauch, Plan-de-Cuques, La Penne-sur-Huveaune. Personnes sans domicile nées entre le 7 juin et le 28 juillet.;Kit DAC 13 Sud, 07/05/2026
SIDIIS — Suivi Intensif pour la DésInstitutionnalisation et l'Inclusion Sociale;Groupe SOS Solidarités;Médico-social;mobile;;"8;9;10";3;"Suivi clinique et médication;Logement et vie quotidienne;Gestion budgétaire et démarches;Gestion de crise et sécurité;Activités et insertion;Projet de vie et rétablissement;Réseau social et entourage";;06 79 91 10 55;;;Secteurs 13G01, 13G05 et 13G06 du CHU Sainte-Marguerite. Personnes sans domicile nées entre le 1er et le 26 janvier et entre le 15 avril et le 6 juin.;Kit DAC 13 Sud, 07/05/2026
CMP Pressensé;CH Édouard Toulouse;Sanitaire;lieu;1;"1;2";2;Suivi clinique et médication;;04 91 90 01 28;;;Secteur 13G11.;Kit DAC 13 Sud, 07/05/2026
CMP Belle de Mai;CH Édouard Toulouse;Sanitaire;lieu;3;"2;3";2;Suivi clinique et médication;;04 91 50 20 37;;;Secteur 13G12.;Kit DAC 13 Sud, 07/05/2026
CMP Lafon — service du Dr Chabannes;AP-HM;Sanitaire;lieu;6;4;2;Suivi clinique et médication;9 rue Lafon, 13006;04 91 43 59 13;;;Secteur 13G04.;Kit DAC 13 Sud, 07/05/2026
CMP Lafon — service du Dr Dassa;AP-HM;Sanitaire;lieu;6;"5;6";2;Suivi clinique et médication;9 rue Lafon, 13006;04 91 43 59 25;;;Secteur 13G02.;Kit DAC 13 Sud, 07/05/2026
CMP Lafon — service du Dr Zendjidjian;AP-HM;Sanitaire;lieu;6;"6;7";2;Suivi clinique et médication;9 rue Lafon, 13006;04 91 38 00 00;;;Secteur 13G03.;Kit DAC 13 Sud, 07/05/2026
Consultation Pôle Solaris;AP-HM;Sanitaire;lieu;9;8;2;Suivi clinique et médication;;04 91 74 40 82;;;Secteur 13G05, service du Pr Azorin.;Kit DAC 13 Sud, 07/05/2026
Consultation Pôle Psychiatrie Centre;AP-HM;Sanitaire;lieu;;9;2;Suivi clinique et médication;;04 91 43 55 52;;;Secteur 13G06, service du Pr Lançon. Implantation à préciser.;Kit DAC 13 Sud, 07/05/2026
CMP Sainte-Baume;AP-HM;Sanitaire;lieu;10;10;2;Suivi clinique et médication;;04 91 38 54 60;;;Secteur 13G01.;SIIS Cartographie de l'offre, 11/05/2026
